TCode,Duration (sec),Direction,Name,Final_Arrival,Initial_Departure,Total_Trip_Duration_mins
T010,83.0,Walk to Como Ave & Eustis St,Como & Eustis,7:31am,6:58am,33.0
T010,780.0,Bus towards Westbound 3 Dwtn Mpls / Target Field,Como & Eustis,7:31am,6:58am,33.0
T010,113.0,Walk to Cedar Ave S & Washington Ave (15th Ave),Como & Eustis,7:31am,6:58am,33.0
T010,540.0,Bus towards Northbound 22C N Lyndale/Via Dupont-57/Brklyn Ctr T,Como & Eustis,7:31am,6:58am,33.0
T010,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Como & Eustis,7:31am,6:58am,33.0
T028,21.0,Walk to Normandale Village & P&R,Normandale Village,7:40am,7:00am,40.0
T028,2340.0,Bus towards Northbound 589 Express / Minneapolis,Normandale Village,7:40am,7:00am,40.0
T032,20.0,Walk to 94th St W & St Edward Church P&R,St. Edward's Catholic Church,7:40am,7:06am,34.0
T032,1980.0,Bus towards Northbound 589 Express / Minneapolis,St. Edward's Catholic Church,7:40am,7:06am,34.0
T040,204.0,Walk to Co Rd 73 P&R & A Bay,Co Rd 73 & I-394 South,7:44am,7:21am,23.0
T040,1140.0,Bus towards Eastbound 673 Express / Downtown,Co Rd 73 & I-394 South,7:44am,7:21am,23.0
T042,84.0,Walk to Minnetonka Blvd & Baker Rd (Co Rd 60),Minnetonka Blvd & Baker Rd,7:43am,7:13am,30.0
T042,1680.0,Bus towards Eastbound 671 Express / Downtown,Minnetonka Blvd & Baker Rd,7:43am,7:13am,30.0
T043,29.0,Walk to Minnetonka Blvd & Steele St P&R,Minnetonka Blvd & Steele St,7:43am,7:09am,34.0
T043,1980.0,Bus towards Eastbound 671 Express / Downtown,Minnetonka Blvd & Steele St,7:43am,7:09am,34.0
T057,119.0,Walk to Water St & 2nd St,Excelsior City Hall,7:43am,6:50am,53.0
T057,3060.0,Bus towards Eastbound 671 Express / Downtown,Excelsior City Hall,7:43am,6:50am,53.0
T081,8.0,Walk to Cedar Lake Rd & Westwood Church P&R,Westwood Lutheran Church,7:32am,7:03am,29.0
T081,1440.0,Bus towards Eastbound 663 Express / Downtown,Westwood Lutheran Church,7:32am,7:03am,29.0
T081,261.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Westwood Lutheran Church,7:32am,7:03am,29.0
T082,23.0,Walk to Little Canada Rd & McMenemy St,Little Canada Municipal Lot,7:29am,6:18am,71.0
T082,1680.0,Bus towards Southbound 71A Downtown / Chester St,Little Canada Municipal Lot,7:29am,6:18am,71.0
T082,91.0,Walk to 6th St & Jackson / Robert,Little Canada Municipal Lot,7:29am,6:18am,71.0
T082,1380.0,Bus towards Westbound 94 Express / Downtown / Minneapolis,Little Canada Municipal Lot,7:29am,6:18am,71.0
T082,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Little Canada Municipal Lot,7:29am,6:18am,71.0
T098,19.0,Walk to Silver Lake Rd & 5th St NW,Salem Covenant Church,7:42am,7:06am,36.0
T098,1920.0,Bus towards Southbound 825 Ltd Stop / Downtown,Salem Covenant Church,7:42am,7:06am,36.0
T098,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Salem Covenant Church,7:42am,7:06am,36.0
T110,175.0,Walk to 42nd Ave N & Welcome Ave / Hwy 100,Faith-Lilac Way Lutheran Church,7:26am,7:01am,25.0
T110,1080.0,Bus towards Southbound 764 Express / Downtown,Faith-Lilac Way Lutheran Church,7:26am,7:01am,25.0
